SMILES,human,rat,mouse,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
O=C([C@H]1N(CCc2c1cccc2N1CCC(CC1)N(C)C)C(=O)/C=C/c1c(F)c(Cl)ccc1n1cnnn1)Nc1ccc(cc1)C(=O)O,1,1,-1,673.14,48,23,0.29,10,9,2,185.74,136.79,3.67,2.43,3.5,3.64,2.83,3.21,-5.24,0.00388,5.77E-06,Moderately soluble,-4.95,0.00763,1.13E-05,Moderately soluble,-7.66,1.47E-05,2.18E-08,Poorly soluble,Low,No,Yes,No,No,Yes,Yes,Yes,-8.68,2,3,0,1,1,0.17,0,1,2,5.39
CC([C@@H](c1ccc2c(c1)OCCO2)Nc1ncnc2c1cc([nH]2)c1cnn(c1)CC(=O)N(C)C)C,0,-1,1,475.54,35,20,0.36,8,6,2,132.97,110.19,3.61,3.16,2.97,1.39,2.88,2.8,-4.67,0.0101,2.12E-05,Moderately soluble,-5.14,0.00341,7.17E-06,Moderately soluble,-6.85,6.66E-05,1.40E-07,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-6.96,0,1,0,0,0,0.55,0,0,2,4.22
NNC(=O)c1nc(cc(n1)c1ccccc1)c1ccccc1,-1,-1,1,290.32,22,18,0,4,4,2,83.8,80.9,1.92,2.39,2.41,1.79,2.35,2.17,-3.49,0.0946,0.000326,Soluble,-3.73,0.054,0.000186,Soluble,-6.32,0.000139,4.78E-07,Poorly soluble,High,No,No,Yes,No,No,Yes,No,-6.37,0,0,0,0,0,0.55,0,2,0,2.45
ONC(=O)c1noc(c1)CCNC(=O)c1noc(c1)c1ccc(cc1)NC(=O)OC(C)(C)C,-1,-1,0,457.44,33,16,0.29,12,9,4,113.45,168.82,3.69,1.77,2.58,0.55,1.38,1.99,-3.36,0.201,0.000439,Soluble,-4.93,0.00534,1.17E-05,Moderately soluble,-6.17,0.00031,6.78E-07,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-7.83,1,0,2,1,1,0.55,0,2,2,3.75
COc1ccc(cc1OC)c1csc(n1)Nc1ccc2c(n1)cccc2,-1,1,-1,363.43,26,21,0.1,5,4,1,105.38,84.51,3.19,5.03,5.12,2.27,4.89,4.1,-5.53,0.00107,2.95E-06,Moderately soluble,-6.55,0.000103,2.85E-07,Poorly soluble,-7.89,4.68E-06,1.29E-08,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-4.95,0,0,0,0,1,0.55,0,0,2,3.04
Fc1cccc(c1CNC(=O)c1cccn1C)Cl,-1,-1,0,266.7,18,11,0.15,4,2,1,68.15,34.03,2.7,2.5,3.02,2.44,2.97,2.72,-3.26,0.148,0.000554,Soluble,-2.86,0.368,0.00138,Soluble,-4.99,0.00274,1.03E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,Yes,No,-6.15,0,0,0,0,0,0.55,0,0,0,2.05
CC(Nc1ccnc2c1ccc(c2)Cl)CCNCCC12CC3CC(C2)CC(C1)C3,-1,-1,1,412.01,29,10,0.64,8,2,2,124.36,36.95,4.49,7.44,6.08,4.71,5.8,5.7,-6.81,6.40E-05,1.55E-07,Poorly soluble,-8.05,3.69E-06,8.96E-09,Poorly soluble,-8.45,1.46E-06,3.53E-09,Poorly soluble,High,No,Yes,No,Yes,No,Yes,No,-3.53,1,1,0,1,1,0.55,0,0,3,5.22
O=C(c1ccc(c(c1)C#Cc1cnc2n1nccc2)C)Nc1ccc(c(c1)Cl)CN1CCC2C(C1)NN=C2,0,-1,0,524.02,38,21,0.24,5,5,2,159.72,86.92,3.86,3.88,2.72,3.76,4.08,3.66,-5.61,0.00128,2.44E-06,Moderately soluble,-5.4,0.00207,3.96E-06,Moderately soluble,-8.43,1.93E-06,3.68E-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.74,1,2,0,0,0,0.55,0,1,2,4.78
O=C(Nc1ccc(cc1)S(=O)(=O)Nc1ccc(cc1)F)Nc1ccc(cc1)c1nc2ncccc2c(n1)N1CCOCC1,-1,-1,1,599.64,43,28,0.13,9,8,3,164.29,146.82,3.13,3.74,5.66,2.79,2.6,3.58,-5.8,0.000946,1.58E-06,Moderately soluble,-6.52,0.000183,3.05E-07,Poorly soluble,-10.7,1.20E-08,2.00E-11,Insoluble,Low,No,No,No,Yes,Yes,No,Yes,-7.3,2,3,1,1,0,0.17,0,0,3,3.85
[O-][N+](=O)c1cn2c(n1)OC[C@H](C2)OCc1ccc(cc1)N1CCOCC1,-1,-1,1,360.36,26,11,0.47,5,6,0,97.6,94.57,2.37,1.35,1.07,1.52,-0.62,1.14,-2.91,0.446,0.00124,Soluble,-2.94,0.416,0.00115,Soluble,-2.93,0.422,0.00117,Soluble,High,No,Yes,No,Yes,No,No,No,-7.54,0,0,0,0,0,0.55,1,2,1,3.95
CNC(=O)[C@H](C(C)C)NC(=O)c1csc(n1)c1ccc(nc1)CSc1nc2CCCc2c(=O)[nH]1,-1,0,0,498.62,34,17,0.39,10,6,3,132.63,183.27,3.41,2.36,2.42,0.8,5.24,2.85,-4.13,0.0371,7.44E-05,Moderately soluble,-5.85,0.000706,1.42E-06,Moderately soluble,-7.55,1.42E-05,2.84E-08,Poorly soluble,Low,No,Yes,No,Yes,Yes,Yes,Yes,-7.67,0,2,1,1,1,0.55,0,0,2,4.48
O=C(Nc1nnc(s1)S(=O)(=O)N)CCC1CCCCC1,1,-1,-1,318.42,20,5,0.73,6,6,2,76.75,151.66,0.64,2.77,2.37,0.04,1.13,1.39,-3.35,0.143,0.000448,Soluble,-5.61,0.000781,2.45E-06,Moderately soluble,-2.71,0.614,0.00193,Soluble,Low,No,No,No,Yes,No,No,No,-6.28,0,0,1,1,1,0.55,0,1,0,3.41
COc1cccc(c1)Oc1ccc2c(c1)CC(c1n2c(=O)[nH]n1)N,0,-1,-1,324.33,24,17,0.18,3,5,2,87.72,95.16,2.66,1.59,1.59,1.83,1.64,1.86,-3.18,0.215,0.000663,Soluble,-3.2,0.205,0.000632,Soluble,-4.79,0.00532,1.64E-05,Moderately soluble,High,No,Yes,Yes,No,No,No,No,-7.15,0,0,0,0,0,0.55,0,0,0,3.59
CCc1cccc(c1n1c(C=C(C)C)c(cc(c1=O)c1scc(n1)c1ccc(cc1)Cl)C(=O)N1CCNCC1C)CC,-1,0,0,601.2,42,23,0.32,8,4,1,183.68,95.47,5.05,7.13,6.39,4.76,8.71,6.41,-7.94,6.96E-06,1.16E-08,Poorly soluble,-8.95,6.67E-07,1.11E-09,Poorly soluble,-10.92,7.26E-09,1.21E-11,Insoluble,Low,No,Yes,No,No,No,Yes,Yes,-4.91,2,4,0,1,2,0.17,0,0,3,5.26
NCCCCn1c2cc(OC)ccc2c2c1c(ncc2)C(F)(F)F,-1,-1,1,337.34,24,13,0.35,6,6,1,87.12,53.07,2.92,2.87,5.11,2.35,3.75,3.4,-3.74,0.0608,0.00018,Soluble,-3.64,0.0766,0.000227,Soluble,-6,0.000334,9.91E-07,Poorly soluble,High,Yes,Yes,Yes,Yes,No,Yes,Yes,-6.32,0,0,0,0,0,0.55,0,0,0,2.5
COCC(c1ccc(cc1)S(=O)(=O)CC)NC(=O)c1ccc2c(c1)c1cc(ccc1n2CCF)CC1CC1,-1,-1,1,536.66,38,19,0.37,12,5,1,148.92,85.78,4.27,5.25,6.74,3.99,6.05,5.26,-6.05,0.000475,8.86E-07,Poorly soluble,-6.8,8.50E-05,1.58E-07,Poorly soluble,-9.82,8.10E-08,1.51E-10,Poorly soluble,Low,No,Yes,Yes,Yes,Yes,Yes,Yes,-5.85,1,4,1,1,1,0.55,0,0,3,3.97
O=C1CCc2c(N1)ncc(c2)/C=C/C(=O)N1CC(C1)c1oc2c(c1C)cc(cc2)Cl,-1,-1,1,421.88,30,15,0.26,4,4,1,122.79,75.44,3.58,3.17,3.25,2.6,4.75,3.47,-4.56,0.0117,2.76E-05,Moderately soluble,-4.42,0.0159,3.76E-05,Moderately soluble,-7.08,3.49E-05,8.28E-08,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-6.62,0,0,0,0,0,0.55,0,1,1,3.86
O=C1CC[C@]2(C(=C1)C(C)C[C@@H]1[C@@H]2CC[C@]2(C1=CC=C2c1cncc(c1)F)C)C,0,-1,-1,377.49,28,6,0.52,1,3,0,111.09,29.96,3.58,4.6,6.33,4.83,5.57,4.98,-5.17,0.00255,6.74E-06,Moderately soluble,-4.95,0.0042,1.11E-05,Moderately soluble,-6.55,0.000107,2.82E-07,Poorly soluble,High,No,No,Yes,No,No,No,Yes,-5.34,1,1,0,1,0,0.55,0,0,2,5.2
Cn1ncc(c1)S(=O)(=O)N(C1CCN(CC1)CCOc1ccccc1C(C)(C)C)C,-1,0,0,434.6,30,11,0.59,8,6,0,123.11,76.05,3.67,3.31,3.58,1.78,1.71,2.81,-4.36,0.0188,4.33E-05,Moderately soluble,-4.58,0.0114,2.61E-05,Moderately soluble,-5.11,0.00339,7.80E-06,Moderately soluble,High,Yes,No,No,Yes,Yes,Yes,Yes,-6.6,0,0,0,0,0,0.55,0,0,2,3.53
Clc1cc(SCc2ccccc2)c(cc1c1nnc(o1)CN1CCN(CC1)c1ccccc1)S(=O)(=O)N,0,-1,-1,556.1,37,23,0.23,8,7,1,152.69,139.24,3.22,4.07,4.67,3.21,3.46,3.72,-5.78,0.000915,1.64E-06,Moderately soluble,-6.7,0.000111,2.00E-07,Poorly soluble,-9.06,4.89E-07,8.79E-10,Poorly soluble,Low,No,Yes,No,Yes,Yes,Yes,Yes,-6.8,1,2,0,1,0,0.55,0,0,3,4.21
N#Cc1nn(cc1NC(=O)c1ccc2n1nc(cc2)N[C@@H]1CCCC[C@@H]1N)C,-1,0,-1,378.43,28,14,0.37,5,5,3,105.1,126.06,2.67,1.86,1.49,1.01,-0.29,1.35,-3.4,0.151,0.0004,Soluble,-4.13,0.0281,7.44E-05,Moderately soluble,-3.93,0.0447,0.000118,Soluble,High,No,Yes,Yes,No,No,No,No,-7.29,0,0,0,0,0,0.55,0,0,1,3.89
CCSc1ncc(cn1)CN1CCN(CC1)c1nc2c(o1)cccc2,-1,-1,1,355.46,25,15,0.39,5,5,0,106.87,83.59,3.64,3.02,2.14,1.77,2.61,2.63,-4.06,0.0309,8.70E-05,Moderately soluble,-4.44,0.0129,3.63E-05,Moderately soluble,-5.73,0.000657,1.85E-06,Moderately soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-6.32,0,0,0,0,0,0.55,0,0,1,3.26
COc1ccc2c(c1)CC(CO2)c1nc2c(OCCN(C)C)cc(cc2c(=O)[nH]1)c1c[nH]nc1,1,-1,-1,461.51,34,21,0.32,7,7,2,128.88,105.36,2.93,2.26,2.98,1.45,4.38,2.8,-4.12,0.035,7.58E-05,Moderately soluble,-4.11,0.0359,7.78E-05,Moderately soluble,-8.1,3.67E-06,7.94E-09,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-7.51,0,0,0,0,0,0.55,0,0,1,4.3
O=C(c1ccc(=O)[nH]n1)NCC1CCC(CC1)CCOc1ccccc1,1,-1,-1,355.43,26,12,0.45,8,4,2,100.21,84.08,2.75,3.09,2.78,2.5,3.57,2.94,-3.8,0.0558,0.000157,Soluble,-4.52,0.0107,3.00E-05,Moderately soluble,-6.2,0.000227,6.38E-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.27,0,0,0,0,0,0.55,0,0,2,3.43
O=S1(=O)C=C(c2c1cc1c(ccnc1c2)Nc1ccc2c(c1)ncs2)C1CC1.Cl,-1,-1,0,441.95,29,19,0.14,3,4,1,120,108.57,0,4.82,6.95,3.21,4.54,3.9,-5.9,0.000552,1.25E-06,Moderately soluble,-6.83,6.49E-05,1.47E-07,Poorly soluble,-7.58,1.15E-05,2.60E-08,Poorly soluble,Low,No,Yes,Yes,Yes,No,No,Yes,-5.57,0,1,0,1,0,0.55,0,0,2,3.62
Clc1ccc(c(c1)n1nnc(c1)C(=O)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)O,-1,-1,1,435.71,29,17,0.12,5,10,1,88.27,68.01,2.96,5.06,7.2,3.82,4.63,4.73,-5.83,0.00064,1.47E-06,Moderately soluble,-6.23,0.000256,5.89E-07,Poorly soluble,-6.72,8.23E-05,1.89E-07,Poorly soluble,Low,No,No,Yes,Yes,Yes,No,No,-5.37,0,1,0,1,1,0.55,0,0,2,2.82
BrCC(=O)N(c1cc(OC)c(c(c1)OC)F)c1ccc2c(c1)OCCO2,0,-1,-1,426.23,26,12,0.28,6,6,0,97.58,57.23,3.4,3.39,4.09,2.3,3.72,3.38,-4.56,0.0116,2.73E-05,Moderately soluble,-4.27,0.0228,5.36E-05,Moderately soluble,-5.92,0.000511,1.20E-06,Moderately soluble,High,Yes,No,No,Yes,Yes,Yes,Yes,-6.49,0,0,0,0,0,0.55,0,1,1,3.1
CC(N(C(=O)n1cnc(n1)S[C@@H]1C[C@@H]2C[C@H]1CC2)C(C)C)C,-1,-1,0,322.47,22,5,0.81,6,3,0,89.95,76.32,3.22,4.08,3.65,3.56,1.58,3.22,-4.18,0.0212,6.58E-05,Moderately soluble,-5.39,0.00132,4.10E-06,Moderately soluble,-2.3,1.6,0.00497,Soluble,High,Yes,No,No,Yes,Yes,No,No,-5.37,0,0,0,0,0,0.55,0,0,1,5.01
N#Cc1n(C)ncc1c1[nH]c2c(c1)c(ncn2)N[C@H](c1ccc2c(n1)NC(=O)CO2)C(C)C,-1,-1,0,443.46,33,20,0.27,5,7,3,123.91,146.43,2.83,2.12,1.68,0.33,2.23,1.84,-4.04,0.0401,9.05E-05,Moderately soluble,-4.83,0.00662,1.49E-05,Moderately soluble,-6.72,8.37E-05,1.89E-07,Poorly soluble,Low,No,Yes,No,No,Yes,No,Yes,-7.5,1,0,1,1,0,0.55,0,0,1,4.1
Fc1cc(F)cc(c1)c1cnc2c(c1)[nH]c(n2)c1cc(ccc1F)NC(=O)N1CCCC1,0,-1,0,437.42,32,21,0.17,5,6,2,118.45,73.91,3.01,4.02,6.03,4.12,5.14,4.46,-5.24,0.00252,5.75E-06,Moderately soluble,-5.27,0.00232,5.31E-06,Moderately soluble,-8.74,7.89E-07,1.80E-09,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-6.11,0,1,0,1,0,0.55,0,0,2,3.1
Cc1scc(n1)c1ccc(cc1)C(c1nnnn1Cc1ccccc1)N1CCCN(CC1)C1CCC1,0,-1,-1,499.67,36,22,0.43,7,6,0,151.75,91.21,4.15,4.9,3.72,3.44,4.81,4.2,-6.02,0.000482,9.66E-07,Poorly soluble,-6.55,0.00014,2.81E-07,Poorly soluble,-7.71,9.63E-06,1.93E-08,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-5.87,0,2,0,0,0,0.55,0,0,2,4.78
N#Cc1c(c2ccccc2)c(n(c1N)Cc1ccccc1)c1ccccc1,0,-1,0,349.43,27,23,0.04,4,1,1,110.17,54.74,3.06,5.47,5.33,3.64,4.79,4.46,-5.82,0.00053,1.52E-06,Moderately soluble,-6.38,0.000147,4.20E-07,Poorly soluble,-8.43,1.31E-06,3.75E-09,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-4.55,0,0,0,0,1,0.55,0,0,1,3.11
O=C(Nc1nc2ccccc2c(n1)N1CCOCC1)Nc1ccc(cc1)S(=O)(=O)Nc1ccc(cc1F)F,-1,-1,0,540.54,38,22,0.16,8,8,3,141.02,133.93,3.15,3.24,5.16,2.6,2.07,3.24,-5.13,0.00398,7.36E-06,Moderately soluble,-5.73,0.00102,1.88E-06,Moderately soluble,-8.91,6.65E-07,1.23E-09,Poorly soluble,Low,No,Yes,Yes,Yes,Yes,Yes,Yes,-7.3,1,2,0,1,0,0.55,0,0,2,3.68
CC(c1nnc(o1)NC(=O)NC12CC3CC(C2)CC(C1)C3)C,-1,-1,1,304.39,22,5,0.81,5,4,2,83.34,80.05,2.71,2.92,3.09,2.48,1.81,2.6,-3.4,0.12,0.000394,Soluble,-4.26,0.0166,5.47E-05,Moderately soluble,-3.79,0.0488,0.00016,Soluble,High,No,Yes,No,Yes,No,No,No,-6.08,0,0,0,0,0,0.55,0,0,0,5.58
CO[C@@H]1COCC[C@@H]1N[C@@H]1CC[C@](C1)(C(C)C)C(=O)N1C[C@@H]2C[C@H]1CN2C(=O)CC(C)(C)C,0,-1,-1,463.65,33,0,0.92,9,5,1,137.11,71.11,4.4,2.49,2.06,1.74,2.87,2.71,-3.69,0.0948,0.000204,Soluble,-3.63,0.109,0.000235,Soluble,-3.66,0.101,0.000217,Soluble,High,Yes,No,No,No,No,No,No,-7.36,0,2,0,0,0,0.55,0,0,2,6.05
CCC1CCc2c(C1NC(=O)c1ccc([nH]c1=O)C(F)(F)F)ccc(c2)C,0,-1,1,378.39,27,12,0.4,5,5,2,96.59,61.96,3.12,4.02,4.97,3.67,5.2,4.2,-4.72,0.00725,1.92E-05,Moderately soluble,-5.02,0.00358,9.46E-06,Moderately soluble,-7.1,2.98E-05,7.89E-08,Poorly soluble,High,Yes,Yes,No,Yes,No,No,Yes,-5.75,0,0,0,0,0,0.55,0,0,2,3.46
Nc1ncnc2c1c(Oc1nccc(c1)C(F)(F)F)nn2C1CCCC1,0,-1,-1,364.33,26,15,0.38,4,8,1,87.42,91.74,2.68,3.02,4.89,2.33,2.05,3,-4.16,0.025,6.85E-05,Moderately soluble,-4.61,0.00891,2.45E-05,Moderately soluble,-4.86,0.00501,1.37E-05,Moderately soluble,High,No,Yes,Yes,Yes,Yes,No,No,-6.38,0,0,0,0,0,0.55,0,0,1,3.31
COc1ccc(cc1C#Cc1ccccc1)C(=O)N1CCN(CC1)c1cnccn1,-1,0,0,398.46,30,18,0.21,4,4,0,122.11,58.56,3.53,3.16,2.17,2.2,3.36,2.88,-4.48,0.0132,3.30E-05,Moderately soluble,-4.06,0.0347,8.71E-05,Moderately soluble,-6.55,0.000112,2.81E-07,Poorly soluble,High,Yes,No,No,No,Yes,Yes,Yes,-6.49,0,0,0,0,0,0.55,0,1,1,3.25
CC(N1CCN(CC1)c1ccc(cc1F)NC(=O)c1ccc(cc1)c1ccccn1)C,0,-1,0,418.51,31,18,0.28,6,4,1,129.72,48.47,3.9,4.18,4.14,3.26,4.18,3.93,-5.1,0.00331,7.91E-06,Moderately soluble,-4.91,0.00519,1.24E-05,Moderately soluble,-7.85,5.93E-06,1.42E-08,Poorly soluble,High,Yes,Yes,No,Yes,No,Yes,Yes,-5.89,0,0,0,0,0,0.55,1,0,2,3
NC(=O)c1cccc2c1cc(n2c1nc(NCc2ccccc2)c2c(n1)NCCC2)C,-1,0,0,412.49,31,21,0.21,5,3,3,125.62,97.86,3.22,4.07,2.88,2.94,3.13,3.25,-5.13,0.00304,7.37E-06,Moderately soluble,-5.83,0.000611,1.48E-06,Moderately soluble,-7.97,4.39E-06,1.06E-08,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-5.93,0,0,0,0,0,0.55,0,0,2,3.45
C=CCc1cccc(c1O)/C=N/NC(=O)CN1CCN(CC1)Cc1ccc(cc1)S(=O)(=O)N,-1,-1,1,471.57,33,12,0.3,10,8,3,134.86,136.71,3.04,1.83,1.2,0.57,1.77,1.68,-3.53,0.141,0.000298,Soluble,-4.32,0.0225,4.77E-05,Moderately soluble,-5.29,0.00239,5.07E-06,Moderately soluble,High,No,Yes,No,No,Yes,No,No,-7.88,0,1,0,1,0,0.55,1,2,2,3.66
C=CC(=O)Oc1ccccc1Nc1nc(ncc1Cl)Nc1ccc(cc1)N1CCN(CC1)C,-1,-1,0,464.95,33,18,0.21,8,5,2,138.22,82.62,3.74,4.86,3.7,3.11,2.88,3.66,-5.66,0.00102,2.19E-06,Moderately soluble,-6.33,0.000218,4.68E-07,Poorly soluble,-7.57,1.25E-05,2.69E-08,Poorly soluble,High,No,No,No,Yes,Yes,Yes,Yes,-5.69,0,1,0,0,0,0.55,1,2,3,3.65
OCCN1[C@@H](C[C@H](C1=O)F)C(=O)N1CC[C@@]2([C@H]1CCc1c2ccc(c1)C(C(F)(F)F)(C(F)(F)F)F)S(=O)(=O)c1ccc(cc1)F,-1,1,1,672.56,45,12,0.5,9,14,1,145.5,103.37,2.97,4.34,8.15,3.69,5.16,4.86,-6.35,0.000302,4.49E-07,Poorly soluble,-6.23,0.0004,5.95E-07,Poorly soluble,-7.91,8.35E-06,1.24E-08,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-7.32,1,3,0,1,2,0.55,0,0,3,5.43
O=C1CSCCN1c1ccc(cc1F)CO[C@@H]1COc2n(C1)cc(n2)[N+](=O)[O-],-1,-1,1,408.4,28,11,0.41,5,7,0,104.27,127.71,2.44,1.51,1.88,1.01,0.06,1.38,-3.28,0.212,0.00052,Soluble,-3.8,0.0647,0.000158,Soluble,-3.43,0.151,0.000371,Soluble,High,No,Yes,No,Yes,No,No,No,-7.72,0,0,0,0,0,0.55,0,2,1,3.92
OC[C@@H]([C@H]1CO[C@H]([C@@H](O1)Oc1cc2O[C@@]3([C@@](c2c(c1)OC)(O)[C@@H]([C@@H]([C@H]3c1ccccc1)C(=O)N(C)C)O)c1ccc(cc1)OC)OC)O,-1,-1,0,667.7,48,18,0.46,11,12,4,168.46,165.84,4.04,1.25,1.27,-0.33,2.1,1.67,-4.32,0.0321,4.80E-05,Moderately soluble,-4.33,0.0312,4.67E-05,Moderately soluble,-5.68,0.0014,2.10E-06,Moderately soluble,Low,No,Yes,No,No,No,No,Yes,-9.49,2,3,2,1,3,0.17,0,0,2,6.64
O=C(c1cc2c(cc1F)OCc1n2cnc1)Nc1cccc(c1)c1nncn1C(C)C,0,0,-1,418.42,31,22,0.18,5,6,1,112.17,86.86,2.84,2.05,4.07,2.24,2.54,2.75,-3.92,0.0502,0.00012,Soluble,-3.5,0.132,0.000314,Soluble,-6.62,9.99E-05,2.39E-07,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-7.4,0,0,0,0,0,0.55,0,0,1,3.45
CCN1CCN(CC1)Cc1ccc(nc1)Nc1ncc(c(n1)c1cc(F)c2c(c1)n(C(C)C)c(n2)C)F,-1,1,0,506.59,37,21,0.41,7,8,1,149.17,75,4.16,3.84,4.86,2.63,4.28,3.96,-5.36,0.00222,4.38E-06,Moderately soluble,-5.11,0.00392,7.75E-06,Moderately soluble,-8.62,1.23E-06,2.42E-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.66,1,2,0,0,0,0.55,0,0,2,3.87
CCC(CN(C(=O)CO)CCCCCCN1[C@@H]2CC[C@H]1CC(C2)c1cccc(c1)C(=O)N)CC,0,0,-1,471.68,34,6,0.71,15,4,2,142.48,86.87,4.25,4.31,3.93,2.94,4.55,4,-4.62,0.0113,2.40E-05,Moderately soluble,-5.85,0.000669,1.42E-06,Moderately soluble,-6,0.000467,9.91E-07,Poorly soluble,High,No,Yes,No,No,No,Yes,Yes,-6.12,0,2,1,0,0,0.55,0,0,3,5
CCc1ccc(cc1)S(=O)(=O)c1nnn2c1nc(NCc1cccs1)c1c2ccs1,-1,0,0,455.58,30,23,0.15,6,5,1,119.55,154.11,3.32,4.34,5.15,3.79,4.41,4.2,-5.57,0.00123,2.69E-06,Moderately soluble,-7.29,2.33E-05,5.12E-08,Poorly soluble,-7.63,1.06E-05,2.33E-08,Poorly soluble,Low,No,No,Yes,Yes,Yes,No,Yes,-6,0,0,1,1,1,0.55,0,0,2,3.66
O=C1CCC(C1)C(=O)N1CCC(C(C1)N(c1ncnc2c1cc[nH]2)C)C,0,-1,-1,355.43,26,9,0.58,4,4,1,103.96,82.19,2.45,1.39,1.62,1.41,1.76,1.73,-2.91,0.436,0.00123,Soluble,-2.72,0.678,0.00191,Soluble,-3.87,0.0485,0.000136,Soluble,High,No,Yes,No,No,No,Yes,No,-7.48,0,0,0,0,0,0.55,0,0,1,3.72
COC[C@@H]1CN(C[C@@H](C1)C(=O)NCc1cccc(n1)C)Cc1nc(oc1C)c1ccccc1,0,-1,-1,448.56,33,17,0.42,9,6,1,131.17,80.49,4.37,2.66,3.07,1.38,4.43,3.18,-4.08,0.037,8.24E-05,Moderately soluble,-4,0.0447,9.96E-05,Moderately soluble,-8.16,3.12E-06,6.97E-09,Poorly soluble,High,No,Yes,No,No,No,Yes,Yes,-7.15,0,1,0,0,0,0.55,0,0,2,4.56
O=c1[nH]c2ncc(cc2[nH]c1=O)CN1CCN(CC1)c1cccc2c1nc([nH]2)c1ccc(cc1)C(C)(C)C,-1,0,-1,509.6,38,25,0.31,5,5,3,158.09,113.77,3.07,4.04,2.86,2.96,5.34,3.65,-5.7,0.00101,1.99E-06,Moderately soluble,-6.13,0.000375,7.37E-07,Poorly soluble,-9.53,1.52E-07,2.99E-10,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,No,-6.54,1,2,0,0,0,0.55,0,1,2,3.87
CO[C@@H]([C@@H](CN(C(=O)[C@@H]1C[C@H]1c1ccccn1)c1ccc(cc1)c1ccc(cc1)[C@@H](OC)C)N)C,-1,-1,0,473.61,35,18,0.38,11,5,1,139.56,77.68,4.39,3.18,4.63,2.34,4.75,3.86,-4.43,0.0174,3.68E-05,Moderately soluble,-4.48,0.0156,3.29E-05,Moderately soluble,-7.79,7.77E-06,1.64E-08,Poorly soluble,High,No,Yes,Yes,No,No,Yes,Yes,-6.93,0,1,1,0,0,0.55,0,0,2,4.65
O=C1NC(=O)/C(=C(/c2ccc([nH]c2=O)c2ccc3c(c2)c(F)ccc3)\C(C)C)/S1,-1,0,-1,408.45,29,16,0.14,3,4,2,117.07,104.33,2.79,4.86,4.72,3.27,5.6,4.25,-5.64,0.000926,2.27E-06,Moderately soluble,-6.79,6.70E-05,1.64E-07,Poorly soluble,-7.94,4.67E-06,1.14E-08,Poorly soluble,High,No,No,Yes,Yes,Yes,No,Yes,-5.34,0,0,0,0,0,0.55,0,2,2,3.64
Nc1nnc(c(n1)c1ccccc1)c1cc(C)nc(c1)C(F)(F)F,-1,1,-1,331.3,24,18,0.12,3,7,1,82.87,77.58,2.45,2.42,4.67,2.26,3.66,3.09,-3.78,0.0555,0.000168,Soluble,-3.69,0.0674,0.000203,Soluble,-6.83,4.91E-05,1.48E-07,Poorly soluble,High,No,Yes,Yes,No,No,No,Yes,-6.6,0,0,0,0,0,0.55,0,0,0,2.99
O=C(C[C@@H]1N=C(c2ccc(cc2)Cl)c2c(n3c1nnc3C)sc(c2C)C)NCc1n[nH]nc1,0,-1,-1,480.97,33,21,0.27,6,6,2,130.31,141.98,2.23,2.5,2.77,2.09,5.24,2.97,-4.47,0.0162,3.37E-05,Moderately soluble,-5.13,0.00359,7.46E-06,Moderately soluble,-8.11,3.75E-06,7.80E-09,Poorly soluble,Low,No,Yes,Yes,Yes,Yes,No,Yes,-7.46,0,2,1,1,0,0.55,0,0,1,4.51
