task,fragment,kind,adme_col,es,delta_median,cohens_d,logOR,n_present,n_absent,p,q
rat,FC:CCl,binary,Lipinski #violations,-0.029279017,,,0.561183748,32,2438,0.154345384,0.346107831
rat,FC:CCl,binary,Muegge #violations,-0.029279017,,,-0.559543039,35,2465,0.231497336,0.458860791
rat,FC:CCl,binary,PAINS #alerts,-0.029279017,,,-1.158620312,41,2691,0.401774103,0.675710991
rat,FC:CCl,binary,Pgp substrate,-0.029279017,,,-0.193596273,41,2702,0.629562812,0.865598427
rat,FC:CCl,binary,Veber #violations,-0.029279017,,,0.661041011,41,2588,0.103613668,0.255580381
rat,CSF,binary,#H-bond donors,-0.026666636,,,0.044145099,1,1433,1,1
rat,CSF,binary,BBB permeant,-0.026666636,,,-1.253306004,4,2739,0.581588428,0.838007702
rat,CSF,binary,Brenk #alerts,-0.026666636,,,1.041440368,3,2491,0.43825915,0.70502559
rat,CSF,binary,CYP1A2 inhibitor,-0.026666636,,,-1.63624644,4,2739,0.303522248,0.561516158
rat,CSF,binary,CYP2C19 inhibitor,-0.026666636,,,0.491021755,4,2739,0.647840561,0.876954906
rat,CSF,binary,CYP2C9 inhibitor,-0.026666636,,,0.497045262,4,2739,0.647095943,0.876954906
rat,CSF,binary,CYP2D6 inhibitor,-0.026666636,,,-2.508472276,4,2739,0.03210901,0.111378129
rat,CSF,binary,CYP3A4 inhibitor,-0.026666636,,,0.035379013,4,2739,1,1
rat,CSF,binary,Egan #violations,-0.026666636,,,1.852379555,4,2688,0.061741238,0.187761024
rat,CSF,binary,GI absorption,-0.026666636,,,-1.82954941,4,2739,0.064620043,0.193860129
rat,CSF,binary,Ghose #violations,-0.026666636,,,1.268395148,2,1837,0.39120116,0.670892286
rat,CSF,binary,Leadlikeness #violations,-0.026666636,,,-2.22425325,1,1042,0.245445829,0.469732535
rat,CSF,binary,Lipinski #violations,-0.026666636,,,0.537629447,3,2467,1,1
rat,CSF,binary,Muegge #violations,-0.026666636,,,1.162048187,2,2498,0.420038095,0.695884009
rat,CSF,binary,PAINS #alerts,-0.026666636,,,1.077166772,4,2728,1,1
rat,CSF,binary,Pgp substrate,-0.026666636,,,0.418205405,4,2739,1,1
rat,CSF,binary,Veber #violations,-0.026666636,,,-0.320029178,4,2625,1,1
rat,C:CCl,binary,#H-bond acceptors,-0.025723837,,,1.326870941,24,20,0.454545455,0.715667311
rat,C:CCl,binary,#H-bond donors,-0.025723837,,,0.208331067,304,1130,0.18376107,0.385573373
rat,C:CCl,binary,#Rotatable bonds,-0.025723837,,,0.622051259,10,54,0.672103626,0.882881686
rat,C:CCl,binary,BBB permeant,-0.025723837,,,-0.094609073,597,2146,0.380901876,0.670099432
rat,C:CCl,binary,Brenk #alerts,-0.025723837,,,-0.072424391,535,1959,0.607473092,0.858974691
rat,C:CCl,binary,CYP1A2 inhibitor,-0.025723837,,,0.348484746,597,2146,0.000252269,0.001302412
rat,C:CCl,binary,CYP2C19 inhibitor,-0.025723837,,,0.685905103,597,2146,2.08E-12,3.30E-11
rat,C:CCl,binary,CYP2C9 inhibitor,-0.025723837,,,0.310497779,597,2146,0.001179337,0.005343118
rat,C:CCl,binary,CYP2D6 inhibitor,-0.025723837,,,0.113214772,597,2146,0.241804039,0.469732535
rat,C:CCl,binary,CYP3A4 inhibitor,-0.025723837,,,-0.085913762,597,2146,0.394327265,0.670892286
rat,C:CCl,binary,Egan #violations,-0.025723837,,,0.202703022,586,2106,0.051363292,0.160600714
rat,C:CCl,binary,Fraction Csp3,-0.025723837,,,-0.960093355,17,35,1,1
rat,C:CCl,binary,GI absorption,-0.025723837,,,-0.169947628,597,2146,0.107350975,0.25904257
rat,C:CCl,binary,Ghose #violations,-0.025723837,,,-0.263140282,363,1476,0.076881334,0.218816106
rat,C:CCl,binary,Leadlikeness #violations,-0.025723837,,,-0.303356338,163,880,0.114085787,0.269436646
rat,C:CCl,binary,Lipinski #violations,-0.025723837,,,0.461457515,506,1964,3.15E-05,0.000199352
rat,C:CCl,binary,Muegge #violations,-0.025723837,,,0.692794385,535,1965,1.70E-10,2.10E-09
rat,C:CCl,binary,PAINS #alerts,-0.025723837,,,-0.076386121,593,2139,0.804184407,0.997850091
rat,C:CCl,binary,Pgp substrate,-0.025723837,,,-0.498515106,597,2146,1.07E-07,9.12E-07
rat,C:CCl,binary,Veber #violations,-0.025723837,,,-0.29546928,570,2059,0.043062113,0.140585134
rat,CCl,binary,#H-bond acceptors,-0.024975925,,,1.326870941,24,20,0.454545455,0.715667311
rat,CCl,binary,#H-bond donors,-0.024975925,,,0.20159356,307,1127,0.185838012,0.385573373
rat,CCl,binary,#Rotatable bonds,-0.024975925,,,0.622051259,10,54,0.672103626,0.882881686
rat,CCl,binary,BBB permeant,-0.024975925,,,-0.104147311,604,2139,0.329469644,0.59952673
rat,CCl,binary,Brenk #alerts,-0.024975925,,,-0.036494159,540,1954,0.798070664,0.997850091
rat,CCl,binary,CYP1A2 inhibitor,-0.024975925,,,0.367394877,604,2139,0.000102777,0.000585039
rat,CCl,binary,CYP2C19 inhibitor,-0.024975925,,,0.688181322,604,2139,1.74E-12,2.98E-11
rat,CCl,binary,CYP2C9 inhibitor,-0.024975925,,,0.315932385,604,2139,0.000890508,0.004206229
rat,CCl,binary,CYP2D6 inhibitor,-0.024975925,,,0.103183662,604,2139,0.283597657,0.533548134
rat,CCl,binary,CYP3A4 inhibitor,-0.024975925,,,-0.083720311,604,2139,0.424327307,0.697782683
rat,CCl,binary,Egan #violations,-0.024975925,,,0.191815569,593,2099,0.066338053,0.196360638
rat,CCl,binary,Fraction Csp3,-0.024975925,,,-0.960093355,17,35,1,1
rat,CCl,binary,GI absorption,-0.024975925,,,-0.148909467,604,2139,0.147888724,0.33506809
rat,CCl,binary,Ghose #violations,-0.024975925,,,-0.244914596,369,1470,0.091901169,0.242693581
rat,CCl,binary,Leadlikeness #violations,-0.024975925,,,-0.273242961,166,877,0.168450527,0.37396017
rat,CCl,binary,Lipinski #violations,-0.024975925,,,0.447808725,513,1957,4.46E-05,0.000260815
rat,CCl,binary,Muegge #violations,-0.024975925,,,0.67976307,542,1958,4.16E-10,4.86E-09
rat,CCl,binary,PAINS #alerts,-0.024975925,,,-0.091921003,600,2132,0.804572821,0.997850091
rat,CCl,binary,Pgp substrate,-0.024975925,,,-0.513818235,604,2139,4.16E-08,3.85E-07
rat,CCl,binary,Veber #violations,-0.024975925,,,-0.313071759,577,2052,0.036766744,0.125572573
rat,C:C:CS,binary,#H-bond acceptors,0.023353661,,,-1.349926717,3,41,1,1
rat,C:C:CS,binary,#H-bond donors,0.023353661,,,-0.275708791,190,1244,0.110117589,0.262861341
rat,C:C:CS,binary,#Rotatable bonds,0.023353661,,,-2.514465452,1,63,0.203125,0.413704128
rat,C:C:CS,binary,BBB permeant,0.023353661,,,-2.981856782,365,2378,7.24E-44,5.36E-42
rat,C:C:CS,binary,Brenk #alerts,0.023353661,,,-0.781658892,339,2155,1.05E-05,7.28E-05
rat,C:C:CS,binary,CYP1A2 inhibitor,0.023353661,,,-0.693075391,365,2378,3.27E-08,3.16E-07
rat,C:C:CS,binary,CYP2C19 inhibitor,0.023353661,,,-0.010839694,365,2378,0.95446823,1
rat,C:C:CS,binary,CYP2C9 inhibitor,0.023353661,,,0.371490563,365,2378,0.001662889,0.007238459
rat,C:C:CS,binary,CYP2D6 inhibitor,0.023353661,,,-1.177213199,365,2378,1.87E-24,8.32E-23
rat,C:C:CS,binary,CYP3A4 inhibitor,0.023353661,,,0.428910125,365,2378,0.00079771,0.003849816
rat,C:C:CS,binary,Egan #violations,0.023353661,,,1.696944544,349,2343,5.72E-46,6.35E-44
rat,C:C:CS,binary,Fraction Csp3,0.023353661,,,0.99852883,3,49,1,1
rat,C:C:CS,binary,GI absorption,0.023353661,,,-1.979759371,365,2378,6.30E-64,1.40E-61
rat,C:C:CS,binary,Ghose #violations,0.023353661,,,0.71754748,185,1654,3.23E-05,0.000199352
rat,C:C:CS,binary,Leadlikeness #violations,0.023353661,,,1.463559128,132,911,1.33E-07,1.09E-06
rat,C:C:CS,binary,Lipinski #violations,0.023353661,,,0.883959257,304,2166,1.05E-11,1.46E-10
rat,C:C:CS,binary,Muegge #violations,0.023353661,,,0.874788632,323,2177,1.04E-11,1.46E-10
rat,C:C:CS,binary,PAINS #alerts,0.023353661,,,-0.399558663,365,2367,0.230859594,0.458860791
rat,C:C:CS,binary,Pgp substrate,0.023353661,,,-0.555758635,365,2378,9.33E-07,7.15E-06
rat,C:C:CS,binary,Veber #violations,0.023353661,,,1.288691784,344,2285,2.26E-19,5.58E-18
rat,CBr,binary,#H-bond donors,-0.022342403,,,0.522300317,48,1386,0.178926755,0.385573373
rat,CBr,binary,#Rotatable bonds,-0.022342403,,,-0.220671362,1,63,1,1
rat,CBr,binary,BBB permeant,-0.022342403,,,-0.392288817,73,2670,0.185839419,0.385573373
rat,CBr,binary,Brenk #alerts,-0.022342403,,,-1.10152056,66,2428,0.012513619,0.047896956
rat,CBr,binary,CYP1A2 inhibitor,-0.022342403,,,0.097916574,73,2670,0.7125195,0.925025316
rat,CBr,binary,CYP2C19 inhibitor,-0.022342403,,,-0.172057937,73,2670,0.472655452,0.7337728
rat,CBr,binary,CYP2C9 inhibitor,-0.022342403,,,-0.444487347,73,2670,0.07022002,0.205116373
rat,CBr,binary,CYP2D6 inhibitor,-0.022342403,,,0.106251396,73,2670,0.71915465,0.927519728
rat,CBr,binary,CYP3A4 inhibitor,-0.022342403,,,-0.295077177,73,2670,0.248392251,0.471308373
rat,CBr,binary,Egan #violations,-0.022342403,,,0.030643236,70,2622,1,1
rat,CBr,binary,Fraction Csp3,-0.022342403,,,0.99852883,3,49,1,1
rat,CBr,binary,GI absorption,-0.022342403,,,0.198833341,73,2670,0.506354185,0.764698157
rat,CBr,binary,Ghose #violations,-0.022342403,,,0.264715068,42,1797,0.570914107,0.838007702
rat,CBr,binary,Leadlikeness #violations,-0.022342403,,,0.497762081,20,1023,0.434849478,0.704646599
rat,CBr,binary,Lipinski #violations,-0.022342403,,,0.551628248,59,2411,0.05066584,0.160600714
rat,CBr,binary,Muegge #violations,-0.022342403,,,0.2997787,65,2435,0.303209753,0.561516158
rat,CBr,binary,PAINS #alerts,-0.022342403,,,-0.084520472,73,2659,1,1
rat,CBr,binary,Pgp substrate,-0.022342403,,,-0.190584449,73,2670,0.467016887,0.730124993
rat,CBr,binary,Veber #violations,-0.022342403,,,-0.831985251,70,2559,0.071478566,0.206081061
rat,BO,binary,#H-bond donors,-0.022267142,,,-0.20798968,4,1430,1,1
rat,BO,binary,BBB permeant,-0.022267142,,,-1.62204524,6,2737,0.194713043,0.400243476
rat,BO,binary,Brenk #alerts,-0.022267142,,,3.164974809,2,2492,0.030504016,0.111014615
rat,BO,binary,CYP1A2 inhibitor,-0.022267142,,,-2.005118338,6,2737,0.092923218,0.242693581
rat,BO,binary,CYP2C19 inhibitor,-0.022267142,,,0.231244768,6,2737,1,1
rat,BO,binary,CYP2C9 inhibitor,-0.022267142,,,-1.654317239,6,2737,0.087858544,0.240797491
rat,BO,binary,CYP2D6 inhibitor,-0.022267142,,,-1.61076173,6,2737,0.089284792,0.241722241
rat,BO,binary,CYP3A4 inhibitor,-0.022267142,,,-0.814295556,6,2737,0.37940089,0.670099432
rat,BO,binary,Egan #violations,-0.022267142,,,-0.299007365,6,2686,1,1
rat,BO,binary,GI absorption,-0.022267142,,,0.321715558,6,2737,1,1
rat,BO,binary,Ghose #violations,-0.022267142,,,0.4197021,4,1835,1,1
rat,BO,binary,Leadlikeness #violations,-0.022267142,,,-1.124370313,2,1041,0.430825741,0.703259665
rat,BO,binary,Lipinski #violations,-0.022267142,,,-0.25247085,6,2464,1,1
rat,BO,binary,Muegge #violations,-0.022267142,,,-1.239628542,5,2495,0.598622703,0.851886155
rat,BO,binary,PAINS #alerts,-0.022267142,,,0.708681101,6,2726,1,1
rat,BO,binary,Pgp substrate,-0.022267142,,,2.138591381,6,2737,0.087446825,0.240797491
rat,BO,binary,Veber #violations,-0.022267142,,,0.580346806,6,2623,0.57378416,0.838007702
